Title,Subtitle,ISBN,URL,Type,"US Pub Date","UK Pub Date",Price(s),"Copyright Year","Sales Territory",Series/Collection,"Distributed Presses",Contributor(s)
"The Empire of Climate","A History of an Idea",9780691236704,https://press.princeton.edu/isbn/9780691236704,Hardcover,2024-04-16,2024-06-11,"£32.00, $38.00",2024,,,,"Livingstone, David N."
Slouch,"Posture Panic in Modern America",9780691235493,https://press.princeton.edu/isbn/9780691235493,Hardcover,2024-04-09,2024-06-04,"£25.00, $29.95",2024,,,,"Linker, Beth"
"Natural Magic","Emily Dickinson, Charles Darwin, and the Dawn of Modern Science",9780691235288,https://press.princeton.edu/isbn/9780691235288,Hardcover,2024-04-30,2024-06-25,"£28.00, $32.00",2024,,,,"Bergland, Renée"
"The Man Who Organized Nature","The Life of Linnaeus",9780691213422,https://press.princeton.edu/isbn/9780691213422,Hardcover,2023-07-11,2023-09-05,"£35.00, $39.95",2023,,,,"Broberg, Gunnar




, 
  Paterson, Anna"
"Radical by Nature","The Revolutionary Life of Alfred Russel Wallace",9780691233796,https://press.princeton.edu/isbn/9780691233796,Hardcover,2023-03-21,2023-03-21,"£35.00, $39.95",2023,,,,"Costa, James T."
"The Colonial Origins of Modern Social Thought","French Sociology and the Overseas Empire",9780691237428,https://press.princeton.edu/isbn/9780691237428,Hardcover,2023-04-18,2023-06-13,"£38.00, $45.00",2023,,"Princeton Modern Knowledge",,"Steinmetz, George"
"Classical Probability in the Enlightenment, New Edition",,9780691248509,https://press.princeton.edu/isbn/9780691248509,Paperback,2023-08-08,2023-08-08,"£30.00, $35.00",,,,,"Daston, Lorraine"
"The Einsteinian Revolution","The Historical Roots of His Breakthroughs",9780691168760,https://press.princeton.edu/isbn/9780691168760,Hardcover,2023-12-05,2024-01-30,"£28.00, $32.00",2024,,,,"Renn, Jürgen




, 
  Gutfreund, Hanoch"
"The Travel Diaries of Albert Einstein","The Far East, Palestine, and Spain, 1922–1923",9780691174419,https://press.princeton.edu/isbn/9780691174419,Hardcover,2018-05-29,,"$29.95, £25.00",2018,,,,"Einstein, Albert




, 
  Rosenkranz, Ze’ev"
"Flying Snakes and Griffin Claws","And Other Classical Myths, Historical Oddities, and Scientific Curiosities",9780691217826,https://press.princeton.edu/isbn/9780691217826,Hardcover,2022-07-26,2022-09-20,"£68.00, $80.00",2022,,,,"Mayor, Adrienne"
"The Collected Papers of Albert Einstein, Volume 17 (Translation Supplement)","The Berlin Years: Writings and Correspondence, June 1929–November 1930",9780691246161,https://press.princeton.edu/isbn/9780691246161,Paperback,2024-09-03,2024-10-29,"£42.00, $49.95",2024,,"Collected Papers of Albert Einstein",,"Einstein, Albert




, 
  Buchwald, Diana K."
"The Collected Papers of Albert Einstein, Volume 17 (Documentary Edition)","The Berlin Years: Writings and Correspondence, June 1929–November 1930",9780691246178,https://press.princeton.edu/isbn/9780691246178,Hardcover,2024-09-03,2024-10-29,"£167.00, $200.00",2024,,"Collected Papers of Albert Einstein",,"Einstein, Albert




, 
  Buchwald, Diana K."
Rules,"A Short History of What We Live By",9780691156989,https://press.princeton.edu/isbn/9780691156989,Hardcover,2022-07-12,2022-09-06,"£35.00, $39.95",2022,,"The Lawrence Stone Lectures",,"Daston, Lorraine"
"The Evolution of Knowledge","Rethinking Science for the Anthropocene",9780691171982,https://press.princeton.edu/isbn/9780691171982,Hardcover,2020-01-14,,"$48.00, £40.00",2020,,,,"Renn, Jürgen"
